gw,25
gu,2842
gt,511
gs,1519
gr,7253
gz,3
gy,250
gg,901
gf,9
ge,13168
gd,63
gb,3
ga,6403
go,5507
gn,2207
gm,195
gl,3252
gk,6
gi,5359
gh,10165
tz,144
tx,7
ty,6733
tv,18
tw,2482
tt,7935
tu,9134
tr,14133
ts,10221
tp,96
tn,308
to,43661
tl,5403
tm,1019
tk,11
th,149331
ti,42359
tf,314
tg,72
td,15
te,43572
tb,46
tc,1210
ta,18928
zl,73
zm,63
zn,17
zo,703
zh,154
zi,380
zk,4
zd,27
ze,1588
za,311
mh,5
zy,32
zz,83
zu,169
zv,1
zw,1
zs,2
mv,2
va,4414
ip,2617
vk,8
vl,215
iw,5
vo,3202
me,31862
md,8
mg,1
mf,188
ma,21569
mc,161
mb,3122
mm,3264
ml,239
mo,13444
mn,416
mi,10874
vr,89
mk,7
mj,1
mu,3882
mt,69
mw,12
ij,2
mp,8398
ms,3588
mr,495
vt,2
my,4055
vu,87
vv,2
vw,1
fr,11090
fs,216
ft,4242
fu,3512
fw,32
fy,243
fa,7355
fb,28
fd,1
fe,10081
ff,6271
fg,2
fh,4
fi,10099
fj,1
fk,7
fl,2751
fm,3
fn,41
fo,17439
sz,4
sy,1762
ss,19347
sr,56
sq,280
sp,6796
sw,1385
sv,102
su,12427
st,38561
sk,3395
sj,5
si,20007
sh,17464
so,16554
sn,585
sm,3238
sl,2863
sc,5346
sb,513
sa,12817
sg,89
sf,600
se,37268
sd,116
lf,3069
lg,188
ld,11186
le,32885
lb,235
lc,600
la,20211
ln,275
lo,16880
ll,24822
lm,1219
lk,1342
lh,53
li,22256
lv,1191
lw,802
lt,4066
lu,4277
lr,664
ls,3903
lp,697
lq,1
lz,26
ly,19002
yi,1798
yh,18
yk,38
ym,969
yl,682
yo,9078
yn,325
ya,1649
yc,280
yb,169
ye,4505
yd,155
yg,51
yf,115
yx,28
yz,27
yp,719
ys,3293
yr,222
yu,62
yt,1097
yw,125
yv,5
em,13975
el,19507
eo,3061
en,56167
ei,6964
eh,1002
ek,522
ej,155
ee,14647
ed,54733
eg,4266
ef,6342
ea,27583
ec,14841
eb,1005
ey,6551
ex,7143
ez,259
eu,1424
et,14303
ew,5384
ev,9926
eq,1151
ep,7260
es,48218
er,84892
rt,11871
ru,5649
rv,2238
rw,532
rp,1326
rq,25
rr,7972
rs,15825
rx,2
ry,11664
rz,85
rd,7259
re,73190
rf,1407
rg,3965
ra,22998
rb,727
rc,4011
rl,2799
rm,7147
rn,6023
ro,29721
rh,689
ri,28440
rj,4
rk,2364
xh,122
xi,1235
xo,105
xl,4
xc,1287
xa,1007
xf,14
xe,833
xx,103
xy,44
xs,13
xp,2203
xq,7
xv,117
xw,1
xt,1511
xu,115
kc,47
kb,8
ka,837
kg,21
kf,45
ke,9569
kd,4
kk,1
ki,5383
kh,829
ko,677
kn,3044
km,60
kl,638
ks,1554
kr,117
kq,1
kp,2
kw,121
kv,12
ku,750
kt,20
ky,287
dn,458
do,9034
dl,2096
dm,797
dj,375
dk,86
dh,165
di,17420
df,155
dg,884
dd,2112
de,28545
db,23
dc,22
da,4876
dz,2
dy,2006
dv,770
dw,116
dt,68
du,3752
dr,5447
ds,4829
dp,13
dq,49
qu,4562
wn,3985
wf,87
we,15045
wd,464
wc,26
wb,27
wa,20215
wo,7993
ju,2221
wm,9
wl,405
wk,78
wi,17124
wh,19697
ww,45
wu,41
jo,1857
ws,1282
wr,1022
wp,8
je,1617
ja,629
wy,90
wt,322
ji,17
ck,5103
ci,7695
ch,21443
co,29224
cn,9
cm,17
cl,5453
cc,3068
ca,17870
cf,12
ce,25416
cd,56
cz,25
cy,1415
cs,402
cr,4931
cq,234
cw,7
cu,5785
ct,13239
pr,16501
ps,2046
pp,6028
pw,54
pt,3639
pu,4021
py,663
pb,33
pc,134
pa,11629
pf,132
pg,27
pd,8
pe,17385
pk,28
ph,2565
pi,6923
pn,52
po,11871
pl,9064
pm,160
iy,1
ix,755
iz,1465
ve,31081
vg,3
iq,126
vi,9133
is,46790
ir,12058
iu,533
it,44616
vn,532
iv,7967
ii,582
ih,26
ik,1924
vs,274
im,15157
il,16565
io,25422
in,98253
ia,8863
vy,261
ic,22552
ib,3246
ie,15355
id,14519
ig,9187
if,7334
jr,2
bd,125
be,22672
bf,1
ba,5696
bb,419
bc,158
bl,8626
bm,151
bn,65
bo,8569
bh,3
bi,2598
bj,482
bk,1
bt,652
bu,8643
bv,122
bw,23
bp,2
br,4825
bs,1640
by,6908
oo,11309
on,65405
om,22777
ol,15177
ok,4547
oj,369
oi,4356
oh,850
og,1923
of,43557
oe,1183
od,6395
oc,5159
ob,2216
oa,2325
oz,159
oy,1527
ox,480
ow,16582
ov,11050
ou,42068
ot,16830
os,13056
or,43941
oq,38
op,7291
hy,1902
hr,2999
hs,517
hp,8
hq,2
hv,9
hw,152
ht,6732
hu,2864
hk,96
hh,16
hi,39712
hn,344
ho,22544
hl,369
hm,541
hb,150
hc,73
ha,43630
hf,97
hg,1
hd,140
he,141061
uy,77
ux,82
uz,705
uu,1
ut,19414
uw,2
uv,100
uq,8
up,6229
us,19258
ur,20534
um,4564
ul,14411
uo,301
un,17136
ui,3303
uh,47
uk,269
uj,1
ue,5198
ud,2456
ug,5677
uf,908
ua,3449
uc,5389
ub,3302
aa,14
ac,16151
ab,7890
ae,204
ad,19210
ag,7449
af,3675
ai,15757
ah,455
ak,4440
aj,335
am,10584
al,33275
ao,126
an,84281
aq,12
ap,8238
as,38393
ar,40541
au,4313
at,57905
aw,3634
av,8422
ay,10532
ax,563
az,517
nh,358
ni,13291
nj,678
nk,2629
nl,3430
nm,864
nn,3372
