a, eh
access, assess
accessed, assessed
acts, ax
ad, add
ads, adds
adapt, adopt
adapted, adopted
adapter, adopter
adapting, adopting
adds, ads, adze
ade, aid, aide
aerie, airy
aero, arrow
aids, aides
accept, except
affect, effect
affects, effects
ail, ale
air, e'er, ere, err, heir
aisle, I'll, isle
all, awl
allusion, illusion
allowed, aloud
altar, alter
anecdote, antidote
angel, angle
ant, aunt
ante, anti, auntie
appraise, apprise
arc, ark
assay, essay
ascent, assent
ate, eight
auger, augur
aught, ought
aural, oral
auricle, oracle
averse, adverse
away, aweigh
awed, odd
aweful, awful, offal
aye, eye, I
bail, bale
bailed, baled
bailee, bailey, bailie
bailer, bailor, baler
bailing, baling
bait, bate
baited, bated
baiting, bating
baize, bays, beys
bald, balled, bawled
ball, bawl
band, banned
bard, barred
bare, bear
bark, barque
barely, barley
baron, barren
Barry, berry, bury
basal, basil
base, bass
based, baste
bases, basis, basses
bask, basque
bat, batt
baud, bawd
bay, bey
be, bee
beach, beech
bean, been
beat, beet
beau, bow
beaut, butte
been, bin
beer, bier
bel, Bel, bell, belle
berth, birth
besot, besought
better, bettor
bight, bite, byte
billed, build
bit, bitt
blew, blue
bloc, block
boar, Boer, boor, bore
board, bored
boarder, border
bode, bowed
bold, bowled
bolder, boulder
bole, boll, bowl
boos, booze
born, borne, bourn
borough, burrow
bough, bow
bouy, boy
bra, braw
braid, brayed
braise, brays
brake, break
brakes, breaks
breach, breech
bread, bred
breathe, breath
brewed, brood, broad
brews, bruise
bridal, bridle
broach, brooch
brows, browse
bundt, bunt
burger, burgher
bus, buss
bussed, bust
but, butt
buy, by, bye
buyer, byre
cache, cash
cached, cashed
calendar, calender
call, caul, col
caller, collar
can't, cant
cannon, canon
canter, cantor
canvas, canvass
capital, capitol
carat, caret, carrot, karat
carol, carrel
carpal, carpel
cast, caste
caster, castor
cause, caws
cay, key, quay
cease, seize
cedar, seeder
cede, seed
ceding, seeding
ceiling, sealing
celebrate, celibate
cell, sell
cellar, seller
censer, censor, sensor
census, senses
cent, scent, sent
cents, scents, sense, since
cere, sear, seer, sere
cereal, serial
Ceres, series
cession, session
chalk, chock
chance, chants
chard, charred
chased, chaste
check, Czech
chews, choose
Chile, chili, chilly
choir, quire
choler, collar
